datetime,IF.CFFEX
2025-10-21,122105.76600000064
2025-10-22,122105.76600000064
2025-10-23,122105.76600000064
2025-10-24,122105.76600000064
2025-10-27,122105.76600000064
2025-10-28,122105.76600000064
2025-10-29,122105.76600000064
2025-10-30,122105.76600000064
2025-10-31,122105.76600000064
2025-11-03,122105.76600000064
2025-11-04,129826.28999999951
2025-11-05,129406.28999999989
2025-11-06,139486.29000000027
2025-11-07,140326.2899999995
2025-11-10,137806.2899999999
2025-11-11,126046.29000000103
2025-11-12,127306.28999999988
2025-11-13,136126.2899999995
2025-11-14,129406.28999999989
2025-11-17,131506.2899999999
2025-11-18,137806.2899999999
2025-11-19,143039.11200000104
2025-11-20,143039.11200000104
2025-11-21,143039.11200000104
2025-11-24,123117.63000000028
2025-11-25,122697.63000000066
2025-11-26,131517.6300000003
2025-11-27,129837.63000000182
2025-11-28,135518.5500000007
2025-12-01,135518.5500000007
2025-12-02,131093.68200000108
2025-12-03,127935.66000000031
2025-12-04,127935.66000000031
2025-12-05,127935.66000000031
2025-12-08,127935.66000000031
2025-12-09,127935.66000000031
2025-12-10,127935.66000000031
2025-12-11,127935.66000000031
2025-12-12,127935.66000000031
2025-12-15,127935.66000000031
2025-12-16,127935.66000000031
2025-12-17,127935.66000000031
2025-12-18,127935.66000000031
2025-12-19,127935.66000000031
2025-12-22,127935.66000000031
2025-12-23,127935.66000000031
2025-12-24,127935.66000000031
2025-12-25,127935.66000000031
2025-12-26,127935.66000000031
2025-12-29,127935.66000000031
2025-12-30,127935.66000000031
2025-12-31,127935.66000000031
2026-01-05,127935.66000000031
2026-01-06,127935.66000000031
2026-01-07,127935.66000000031
2026-01-08,127935.66000000031
2026-01-09,127935.66000000031
2026-01-12,127935.66000000031
2026-01-13,127935.66000000031
2026-01-14,127935.66000000031
2026-01-15,127935.66000000031
2026-01-16,127935.66000000031
2026-01-19,127935.66000000031
2026-01-20,127935.66000000031
2026-01-21,127935.66000000031
2026-01-22,127935.66000000031
2026-01-23,127935.66000000031
2026-01-26,127935.66000000031
2026-01-27,127935.66000000031
2026-01-28,127935.66000000031
2026-01-29,127935.66000000031
2026-01-30,127935.66000000031
2026-02-02,127935.66000000031
2026-02-03,127935.66000000031
2026-02-04,127935.66000000031
2026-02-05,127935.66000000031
2026-02-06,127935.66000000031
2026-02-09,127935.66000000031
2026-02-10,131838.9300000007
2026-02-11,133938.9300000007
2026-02-12,132258.9300000003
2026-02-13,144438.9300000007
2026-02-24,151158.9300000003
2026-02-25,134358.9300000003
2026-02-26,146958.9300000003
2026-02-27,145698.93000000145
2026-03-02,157458.9300000003
2026-03-03,154938.92999999877
2026-03-04,167958.93000000028
2026-03-05,191898.92999999953
2026-03-06,193158.93000000028
2026-03-09,191478.9299999999
2026-03-10,193158.93000000028
2026-03-11,199038.93000000066
2026-03-12,202398.92999999953
2026-03-13,217098.92999999953
2026-03-16,222295.96800000066
2026-03-17,222295.96800000066
2026-03-18,222295.96800000066
2026-03-19,222295.96800000066
2026-03-20,222295.96800000066
2026-03-23,222295.96800000066
2026-03-24,222295.96800000066
2026-03-25,222295.96800000066
2026-03-26,222295.96800000066
2026-03-27,222295.96800000066
2026-03-30,222295.96800000066
2026-03-31,222295.96800000066
2026-04-01,222295.96800000066
2026-04-02,222295.96800000066
2026-04-03,222295.96800000066
2026-04-07,222295.96800000066
2026-04-08,222295.96800000066
2026-04-09,222295.96800000066
2026-04-10,222295.96800000066
2026-04-13,222295.96800000066
2026-04-14,222295.96800000066
2026-04-15,222295.96800000066
2026-04-16,222295.96800000066
2026-04-17,222295.96800000066
2026-04-20,222295.96800000066
